lat,lng,date,street_id,street_name
53.363275,-2.927503,2021-01,905913,On or near Lawnhurst Grove
53.408415,-2.971900,2021-01,911946,On or near Moor Place
53.406368,-2.978216,2021-01,912081,On or near Bolton Street
53.392575,-2.931508,2021-01,908968,On or near Claremont Road
53.404563,-2.982401,2021-01,910334,On or near Brooks Alley
53.392636,-2.956788,2021-01,908838,On or near Beaconsfield Street
53.399533,-2.969757,2021-01,910467,On or near Blackburne Place
53.411693,-2.990870,2021-01,911809,On or near Princes Gardens
53.400636,-2.966834,2021-01,910475,On or near Back Mulberry Street
53.387975,-2.942670,2021-01,908863,On or near Croxteth Drive
53.411775,-2.987472,2021-01,911812,On or near Pickop Street
53.402610,-2.995638,2021-01,910521,On or near Parking Area
53.403998,-2.994136,2021-01,910545,On or near Mann Island
53.396719,-2.974220,2021-01,910442,On or near Lady Chapel Close
53.399960,-2.970308,2021-01,910490,On or near Conference/exhibition Centre
53.411775,-2.987472,2021-01,911812,On or near Pickop Street
53.408546,-2.973452,2021-01,911965,On or near Hart Street
53.401482,-2.928138,2021-01,910011,On or near Taunton Street
53.399665,-2.928264,2021-01,910042,On or near Dunstan Street
53.381966,-2.931758,2021-01,908952,On or near Mossley Hill Drive
53.408602,-2.975439,2021-01,912021,On or near Ward Street
53.403765,-2.990791,2021-01,910519,On or near Parking Area
53.405686,-2.983495,2021-01,910344,On or near Shopping Area
53.403765,-2.990791,2021-01,910519,On or near Parking Area
53.394333,-2.936629,2021-01,909938,On or near Woodcroft Road
53.394466,-2.932196,2021-01,909975,On or near Garmoyle Road
53.378837,-2.945610,2021-01,906927,On or near Livingston Drive
53.398455,-2.932479,2021-01,909989,On or near Broadwood Street
53.411189,-2.990859,2021-01,911832,On or near Highfield Street
53.397993,-2.916722,2021-01,909810,On or near Waterloo Street
53.396415,-2.938149,2021-01,909967,On or near Langton Road
53.378837,-2.945610,2021-01,906927,On or near Livingston Drive
53.403950,-2.992360,2021-01,910538,On or near Strand Street
53.390205,-2.926419,2021-01,908923,On or near Weardale Road
