ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|usrn|usrn_mi|distance|address_detail|street_name|locality|geographic_county|postcode|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
131491271|The Little Barber Shop|02100156|335433|389855|1|38246404|osgb1000034982583|6|23603555|1|11.9|2, Pilgrim Street|Liverpool Chinatown|Liverpool|Merseyside|L1 9HB|Liverpool District||||||Local Data Company|2022-03-01
131491279|Kurdistan Cafe|01020013|335231|390735|1|38093456|osgb1000034984444|5|23602791|2|16.8|57, London Road|City Centre|Liverpool|Merseyside|L3 8HY|Liverpool District||||||Local Data Company|2022-03-01
131490952|Newington Temple|01020034|335044.2|390074.8|1|38109867|osgb1000034984946|6|23603277|1|10.1|Flat 8|Newington|Liverpool|Merseyside|L1 4ED|Liverpool District||||||Local Data Company|2022-03-01
131490953|Tom Thumb|01020034|335415|389872|1|38071276|osgb1000034982570|4|23602169|1|12.2|4|Hardman Street|Liverpool|Merseyside|L1 9AX|Liverpool District||||||Local Data Company|2022-03-01
131490954|Shu Yuan|01020018|335416|390136|1|38034060|osgb1000034985108|4|23601026|1|12.5|34|Clarence Street|Liverpool|Merseyside|L3 5TN|Liverpool District||||||Local Data Company|2022-03-01
131491190|Jam Restaurant|01020034|334594.3|390501|1|38314198|osgb1000034932673|5|23604150|1|11.4|7-11, Sir Thomas Street|City Centre|Liverpool|Merseyside|L1 6BW|Liverpool District||||||Local Data Company|2022-03-01
131491191|The Navy Bar|01020034|334473|390527|1||osgb1000034933011|4|23601270|3|8|Flat 2 27-29|Stanley Street|Liverpool|Merseyside|L1 6AA|Liverpool District||||||Local Data Company|2022-03-01
131491198|Nisbets|02070098|333990.7|390541.7|1||osgb1000002733024276|7|23600915|2|15.9|22-24|Chapel Street|Liverpool|Merseyside|L3 9AG|Liverpool District|01516591517|www.nisbets.co.uk/|Nisbets|||Local Data Company|2022-03-01
131491200|The 1880 Bar|01020034|334734.4|390563.8|1|38273417|osgb1000034932971|6|23606385|3|35.7|3, Genting Casino, Queen Square|City Centre|Liverpool|Merseyside|L1 1RH|Liverpool District||||||Local Data Company|2022-03-01
131491202|Duke News|09470699|334928|389816|1|38252567|osgb1000034932082|4|23601428|1|16.1|Ground Floor 104|Duke Street|Liverpool|Merseyside|L1 5AG|Liverpool District||||||Local Data Company|2022-03-01
131491205|Greta's|01020018|334187|390311|1|38055896|osgb1000034934015|2|23601698|1|9.4|36|Fenwick Street|Liverpool|Merseyside|L2 7NB|Liverpool District||||||Local Data Company|2022-03-01
131490673|Freddy's|01020018|335222|390734|1|38093455|osgb1000034984443|5|23602791|1|15.6|53|London Road|Liverpool|Merseyside|L3 8HY|Liverpool District|01513454880|www.freddyschicken.co.uk|Freddy's|||Local Data Company|2022-03-01
131490677|The Gateway Coffee Shop|01020013|335274|390732|1|38219234|osgb1000002107291710|5|23602791|1|12.4|73, London Road|City Centre|Liverpool|Merseyside|L3 8HY|Liverpool District||||||Local Data Company|2022-03-01
131490683|The Brothers|02100156|334745.2|390379|1|38303266|osgb1000034933758|4|23604867|1|17.6|18-19|Williamson Square|Liverpool|Merseyside|L1 1EJ|Liverpool District||||||Local Data Company|2022-03-01
131485343|Vivienne Westwood|09460656|334620.7|390100.3|1|38274128|osgb1000002733076315|3|23601076|3|23.2|16|Manestys Lane|Liverpool|Merseyside|L1 3DL|Liverpool District||www.viviennewestwood.com|Vivienne Westwood|||Local Data Company|2022-03-01
131494515|G & J Baby|09460797|335542|390924|1|38043162|osgb1000034984225|6|23601321|1|20.8|29|Devon Street|Liverpool|Merseyside|L3 8HA|Liverpool District||||||Local Data Company|2022-03-01
131494430|Mamos|01020013|335040.4|390056.9|1|38292263|osgb1000034984948|4|23600577|1|9.7|43|Bold Street|Liverpool|Merseyside|L1 4EU|Liverpool District||||||Local Data Company|2022-03-01
131494436|Miltons|09460659|334813|390256|1|38033103|osgb1000034933628|4|23601006|1|17.7|71|Church Street|Liverpool|Merseyside|L1 1DG|Liverpool District||||||Local Data Company|2022-03-01
131494232|Fab 4 Cafe|01020013|334180|389632|1|38200310|osgb1000034932382|7|23601958|1|20.6|Anchor Courtyard|Salthouse Quay|Liverpool|Merseyside|L3 4AS|Liverpool District||||||Local Data Company|2022-03-01
131492815|Mace|09470699|338037|386950|1|38002851|osgb1000035145535|2|23600065|1|12.8|11b|Aigburth Vale|Liverpool|Merseyside|L17 0DE|Liverpool District|01517273347|www.macestores.co.uk|Mace|||Local Data Company|2022-03-01
131492002|Your Yoga Studio|04240293|334993.6|390054.5|1|38019046|osgb1000034933449|7|23600577|1|22.3|63|Wood Street|Liverpool|Merseyside|L1 4AL|Liverpool District||||||Local Data Company|2022-03-01
131492003|Root Coffee|01020013|334757|390106|1|38293524|osgb5000005108100056|2|23611137|1|55.6|52|Hanover Street|Liverpool|Merseyside|L1 4AF|Liverpool District||||||Local Data Company|2022-03-01
133938543|Vogue|02100156|338046|388748|1|38140306|osgb1000035150065|4|23604170|1|20.9|144|Smithdown Road|Liverpool|Merseyside|L15 3JR|Liverpool District||||||Local Data Company|2022-03-01
133938292|Sakib Basheer News|09470699|338321|388552|1|38140571|osgb1000035150412|3|23604170|1|21.1|451|Smithdown Road|Liverpool|Merseyside|L15 3JL|Liverpool District||www.golocalstores.co.uk|Go Local|||Local Data Company|2022-03-01
133938294|Lashes by Lea|02100156|338072|388766|1|38140506|osgb1000035149727|3|23604170|1|10.4|359|Smithdown Road|Liverpool|Merseyside|L15 3JJ|Liverpool District||||||Local Data Company|2022-03-01
133938302|T's Collectables|01020013|338197|388573|1|38140370|osgb1000035150241|2|23604170|1|23.3|210|Smithdown Road|Liverpool|Merseyside|L15 3JT|Liverpool District||||||Local Data Company|2022-03-01
133938304|Our Little Secret|02100156|338142|388696|1|38140534|osgb1000035149857|3|23604170|1|16|389|Smithdown Road|Liverpool|Merseyside|L15 3JJ|Liverpool District||||||Local Data Company|2022-03-01
